Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
-1,3,3,3,2,3,6,3,4,4,2,2
Vote
3,Democratic,Liberal,White,Female,Catholic,50000-74999,College,45-64,Midwest,Approve,Obama
4,Democratic,Liberal,Black,Female,Protestant,150000+,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
5,Independent,Moderate,White,Female,Catholic,100000-149999,Post-Grad,45-64,Northeast,Disapprove,Obama
6,Democratic,Moderate,White,Female,Protestant,30000-49999,Post-Grad,45-64,Northeast,Disapprove,Obama
7,Republican,Conservative,White,Female,Protestant,100000-149999,H.S. diploma or less,65+,Northeast,Disapprove,McCain
8,Independent,Conservative,White,Male,Protestant,150000+,College,45-64,Northeast,Disapprove,Obama
9,Republican,Conservative,White,Female,Protestant,50000-74999,College,30-44,Midwest,Disapprove,Obama
10,Independent,Liberal,White,Male,Catholic,100000-149999,College,18-29,Northeast,Approve,Obama
11,Republican,Moderate,Black,Male,Protestant,150000+,College,30-44,Midwest,Disapprove,Obama
12,Democratic,Moderate,White,Female,Catholic,100000-149999,College,45-64,Midwest,Disapprove,Obama
13,Independent,Moderate,White,Male,Catholic,30000-49999,Post-Grad,30-44,Midwest,Approve,Obama
14,Independent,Conservative,White,Male,Protestant,30000-49999,College,45-64,Northeast,Approve,Obama
15,Republican,Conservative,Other,Male,Catholic,30000-49999,College,65+,Midwest,Approve,McCain
16,Democratic,Moderate,White,Female,Catholic,50000-74999,Post-Grad,65+,Northeast,Approve,McCain
17,Republican,Conservative,White,Female,Catholic,50000-74999,College,30-44,Northeast,Disapprove,Obama
18,Independent,Conservative,White,Female,Other,100000-149999,College,65+,Northeast,Disapprove,McCain
19,Independent,Moderate,White,Female,Other,50000-74999,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
20,Democratic,Moderate,White,Female,Other,100000-149999,College,30-44,South,Disapprove,Obama
21,Independent,Moderate,White,Female,Protestant,50000-74999,H.S. diploma or less,30-44,South,Disapprove,Obama
22,Democratic,Moderate,Other,Male,Protestant,150000+,H.S. diploma or less,45-64,South,Disapprove,Obama
23,Independent,Conservative,White,Male,Protestant,100000-149999,College,18-29,West,Disapprove,Obama
24,Democratic,Liberal,Other,Male,Catholic,100000-149999,College,45-64,West,Disapprove,Obama
25,Democratic,Conservative,White,Male,Protestant,30000-49999,College,45-64,Midwest,Disapprove,Obama
26,Republican,Liberal,Black,Male,Catholic,30000-49999,College,45-64,Northeast,Approve,Obama
27,Democratic,Liberal,White,Male,Other,50000-74999,Post-Grad,18-29,Northeast,Disapprove,Obama
28,Independent,Moderate,White,Female,Other,30000-49999,Post-Grad,45-64,Northeast,Approve,Obama
29,Democratic,Moderate,Other,Female,Other,50000-74999,Post-Grad,18-29,Northeast,Approve,Obama
30,Independent,Conservative,White,Female,Other,100000-149999,College,18-29,South,Disapprove,Obama
31,Republican,Moderate,White,Male,Protestant,100000-149999,H.S. diploma or less,18-29,Midwest,Approve,Obama
32,Democratic,Conservative,White,Female,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
33,Republican,Liberal,White,Male,Protestant,100000-149999,College,30-44,Midwest,Disapprove,Obama
34,Independent,Liberal,White,Male,Protestant,30000-49999,College,30-44,Midwest,Disapprove,Obama
35,Independent,Moderate,White,Female,Catholic,Less than 30000,Post-Grad,18-29,Northeast,Approve,Obama
36,Democratic,Liberal,White,Male,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
37,Independent,Moderate,Other,Male,Protestant,75000-99999,Post-Grad,45-64,Northeast,Disapprove,Obama
38,Democratic,Moderate,Black,Female,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
39,Republican,Liberal,White,Male,Protestant,100000-149999,College,45-64,West,Disapprove,McCain
40,Democratic,Liberal,Black,Female,Other,50000-74999,H.S. diploma or less,45-64,South,Disapprove,Obama
41,Democratic,Moderate,White,Female,Other,50000-74999,H.S. diploma or less,18-29,South,Disapprove,Obama
42,Independent,Moderate,White,Female,Other,150000+,College,30-44,South,Approve,Obama
43,Democratic,Moderate,White,Female,Protestant,150000+,H.S. diploma or less,45-64,West,Disapprove,Obama
44,Independent,Moderate,White,Female,Protestant,30000-49999,College,45-64,South,Disapprove,Obama
